"DATE TIME (UTC)","MMSI","LATITUDE","LONGITUDE","COURSE","SPEED","HEADING","IMO","NAME","CALLSIGN","AISTYPE","A","B","C","D","DRAUGHT","DESTINATION","ETA"
"2016-03-14 09:04:54",367587440,40.64174,-74.12080,356.1,0.0,511,5108182,"PELHAM","WDG9405",52,8,19,4,4,2.0,"NEW YORK","11-14 20:00"
"2016-03-14 09:16:19",229206000,40.64580,-74.09557,9.0,0.0,511,9240811,"M/V AGHIA SKEPI","9HA3149",70,163,27,20,12,11.8,"NEW YORK","03-11 03:00"
"2016-03-14 09:26:04",367563930,41.80265,-73.94883,80.8,0.0,511,9653264,"DEAN REINAUER","WDG7107",80,128,24,12,12,6.5,"HYDE PARK ANCH","03-14 02:00"
"2016-03-14 10:02:03",305599000,39.91653,-75.13422,206.2,0.0,511,9489974,"MARCOLORADO","V2EY5",70,155,30,10,20,7.3,"PHILADELPHIA","02-29 14:00"
"2016-03-14 10:02:08",366238710,41.28710,-72.90797,157.5,0.0,511,8993368,"DACE REINAUER","WCW8843",22,8,33,5,6,4.2,"NEW HAVEN","03-14 04:30"
"2016-03-14 10:02:15",367506050,40.67083,-74.08533,296.9,0.0,511,9569475,"HUNTING CREEK","WDF9526",31,6,25,7,3,4.3,"NEW YORK","07-25 00:00"
"2016-03-14 10:04:18",229206000,40.64593,-74.09552,9.0,0.0,511,9240811,"M/V AGHIA SKEPI","9HA3149",70,163,27,20,12,11.8,"NEW YORK","03-11 03:00"
"2016-03-14 10:04:51",367594190,40.67094,-74.08563,313.3,0.0,511,9665504,"TANGIER ISLAND","WDH2080",52,0,0,0,0,4.3,"NEWYORK","01-02 21:00"
"2016-03-14 10:04:54",367587440,40.64257,-74.19045,222.8,8.2,511,5108182,"PELHAM","WDG9405",52,8,19,4,4,2.0,"NEW YORK","11-14 20:00"
"2016-03-14 10:07:13",367563930,41.80264,-73.94883,80.8,0.0,511,9653264,"DEAN REINAUER","WDG7107",80,128,24,12,12,6.5,"HYDE PARK ANCH","03-14 02:00"
"2016-03-14 10:24:50",366990560,40.77630,-74.00997,340.2,0.0,511,2097215,"JOHN STEVENS","WCX3346",0,10,20,4,4,0.0,"HOBOKEN\PIER11","04-02 00:00"
"2016-03-14 11:00:01",367594190,40.67283,-74.04946,106.2,0.6,511,9665504,"TANGIER ISLAND","WDH2080",52,0,0,0,0,4.3,"NEWYORK","01-02 21:00"
"2016-03-14 11:02:14",366238710,41.28712,-72.90793,321.3,0.1,511,8993368,"DACE REINAUER","WCW8843",22,8,33,5,6,4.2,"NEW HAVEN","03-14 04:30"
"2016-03-14 11:02:15",367506050,40.67085,-74.08535,277.8,0.0,511,9569475,"HUNTING CREEK","WDF9526",31,6,25,7,3,4.3,"NEW YORK","07-25 00:00"
"2016-03-14 11:04:58",366990560,40.71876,-74.02327,188.3,17.6,511,2097215,"JOHN STEVENS","WCX3346",0,10,20,4,4,0.0,"HOBOKEN\PIER11","04-02 00:00"
"2016-03-14 11:05:01",305599000,39.91650,-75.13423,206.2,0.0,511,9489974,"MARCOLORADO","V2EY5",70,155,30,10,20,7.3,"PHILADELPHIA","02-29 14:00"
"2016-03-14 11:22:17",229206000,40.64585,-74.09553,9.0,0.0,511,9240811,"M/V AGHIA SKEPI","9HA3149",70,163,27,20,12,11.8,"NEW YORK","03-11 03:00"
"2016-03-14 11:56:54",367563930,41.80028,-73.95076,186.8,0.4,511,9653264,"DEAN REINAUER","WDG7107",80,128,24,12,12,6.5,"HYDE PARK ANCH","03-14 02:00"
"2016-03-14 12:02:04",305599000,39.91651,-75.13422,206.2,0.0,511,9489974,"MARCOLORADO","V2EY5",70,155,30,10,20,7.3,"PHILADELPHIA","02-29 14:00"
"2016-03-14 12:02:11",366238710,41.28713,-72.90790,47.6,0.0,511,8993368,"DACE REINAUER","WCW8843",22,8,33,5,6,4.2,"NEW HAVEN","03-14 04:30"
"2016-03-14 12:02:16",367506050,40.67088,-74.08532,225.2,0.0,511,9569475,"HUNTING CREEK","WDF9526",31,6,25,7,3,4.3,"NEW YORK","07-25 00:00"
"2016-03-14 12:04:52",366990560,40.70327,-74.00565,255.2,0.0,511,2097215,"JOHN STEVENS","WCX3346",0,10,20,4,4,0.0,"HOBOKEN\PIER11","04-02 00:00"
"2016-03-14 12:05:00",367594190,40.64935,-74.10872,253.4,0.0,511,9665504,"TANGIER ISLAND","WDH2080",52,0,0,0,0,4.3,"NEWYORK","01-02 21:00"
"2016-03-14 12:34:15",367587440,40.50336,-74.16777,296.2,9.0,511,5108182,"PELHAM","WDG9405",52,8,19,4,4,2.0,"NEW YORK","11-14 20:00"
"2016-03-14 12:46:17",229206000,40.64602,-74.09530,214.0,0.0,511,9240811,"M/V AGHIA SKEPI","9HA3149",70,163,27,20,12,11.8,"NEW YORK","03-11 03:00"
"2016-03-14 13:02:07",305599000,39.91647,-75.13419,206.2,0.0,511,9489974,"MARCOLORADO","V2EY5",70,155,30,10,20,7.3,"PHILADELPHIA","02-29 14:00"
"2016-03-14 13:02:08",366238710,41.28715,-72.90795,125.5,0.0,511,8993368,"DACE REINAUER","WCW8843",22,8,33,5,6,4.2,"NEW HAVEN","03-14 04:30"
"2016-03-14 13:02:11",367506050,40.67084,-74.08534,241.7,0.0,511,9569475,"HUNTING CREEK","WDF9526",31,6,25,7,3,4.3,"NEW YORK","07-25 00:00"
"2016-03-14 13:04:51",367594190,40.67093,-74.08560,260.3,0.0,511,9665504,"TANGIER ISLAND","WDH2080",52,0,0,0,0,4.3,"NEWYORK","01-02 21:00"
"2016-03-14 13:04:58",366990560,40.71907,-74.02571,9.1,12.6,511,2097215,"JOHN STEVENS","WCX3346",0,10,20,4,4,0.0,"HOBOKEN\PIER11","04-02 00:00"
"2016-03-14 13:10:17",229206000,40.64597,-74.09533,181.0,0.0,511,9240811,"M/V AGHIA SKEPI","9HA3149",70,163,27,20,12,11.8,"NEW YORK","03-11 03:00"
"2016-03-14 13:28:43",367563930,41.79891,-73.94932,266.6,0.1,511,9653264,"DEAN REINAUER","WDG7107",80,128,24,12,12,6.5,"HYDE PARK ANCH","03-14 02:00"
"2016-03-14 13:59:53",367587440,40.61052,-74.20390,6.7,9.2,511,5108182,"PELHAM","WDG9405",52,8,19,4,4,2.0,"NEW YORK","11-14 20:00"
"2016-03-14 14:02:06",305599000,39.91648,-75.13425,206.2,0.0,511,9489974,"MARCOLORADO","V2EY5",70,155,30,10,20,7.3,"PHILADELPHIA","02-29 14:00"
"2016-03-14 14:02:16",366238710,41.28712,-72.90798,195.8,0.0,511,8993368,"DACE REINAUER","WCW8843",22,8,33,5,6,4.2,"NEW HAVEN","03-14 04:30"
"2016-03-14 14:02:17",367506050,40.67085,-74.08533,314.0,0.0,511,9569475,"HUNTING CREEK","WDF9526",31,6,25,7,3,4.3,"NEW YORK","07-25 00:00"
"2016-03-14 14:04:50",367594190,40.67094,-74.08561,278.1,0.0,511,9665504,"TANGIER ISLAND","WDH2080",52,0,0,0,0,4.3,"NEWYORK","01-02 21:00"
"2016-03-14 14:04:54",367587440,40.62334,-74.20251,5.1,9.1,511,5108182,"PELHAM","WDG9405",52,8,19,4,4,2.0,"NEW YORK","11-14 20:00"
"2016-03-14 14:04:55",366990560,40.77627,-74.00965,300.0,2.5,511,2097215,"JOHN STEVENS","WCX3346",0,10,20,4,4,0.0,"HOBOKEN\PIER11","04-02 00:00"
"2016-03-14 14:10:16",229206000,40.64590,-74.09530,181.0,0.0,511,9240811,"M/V AGHIA SKEPI","9HA3149",70,163,27,20,12,11.8,"NEW YORK","03-11 03:00"
"2016-03-14 15:00:01",367594190,40.67095,-74.08560,253.7,0.0,511,9665504,"TANGIER ISLAND","WDH2080",52,0,0,0,0,4.3,"NEWYORK","01-02 21:00"
"2016-03-14 15:02:08",366238710,41.28710,-72.90798,322.5,0.0,511,8993368,"DACE REINAUER","WCW8843",22,8,33,5,6,4.2,"NEW HAVEN","03-14 04:30"
"2016-03-14 15:02:08",305599000,39.91645,-75.13423,206.2,0.0,511,9489974,"MARCOLORADO","V2EY5",70,155,30,10,20,7.3,"PHILADELPHIA","02-29 14:00"
"2016-03-14 15:04:54",367587440,40.63839,-74.05991,174.5,8.3,511,5108182,"PELHAM","WDG9405",52,8,19,4,4,2.0,"NEW YORK","11-14 20:00"
"2016-03-14 15:05:01",367506050,40.65577,-74.07422,238.0,9.8,511,9569475,"HUNTING CREEK","WDF9526",31,6,25,7,3,4.3,"NEW YORK","07-25 00:00"
"2016-03-14 15:20:04",367563930,41.79902,-73.94925,127.6,0.0,511,9653264,"DEAN REINAUER","WDG7107",80,128,24,12,12,6.5,"HYDE PARK ANCH","03-14 02:00"
"2016-03-14 16:00:01",367594190,40.64794,-74.09522,75.8,7.4,511,9665504,"TANGIER ISLAND","WDH2080",52,0,0,0,0,4.3,"NEWYORK","01-02 21:00"
"2016-03-14 16:02:08",305599000,39.91644,-75.13432,206.2,0.0,511,9489974,"MARCOLORADO","V2EY5",70,155,30,10,20,7.3,"PHILADELPHIA","02-29 14:00"
"2016-03-14 16:02:15",366238710,41.28710,-72.90795,327.2,0.0,511,8993368,"DACE REINAUER","WCW8843",22,8,33,5,6,4.2,"NEW HAVEN","03-14 04:30"
"2016-03-14 16:04:54",367587440,40.60008,-74.02595,277.7,8.6,511,5108182,"PELHAM","WDG9405",52,8,19,4,4,2.0,"NEW YORK","11-14 20:00"
"2016-03-14 16:04:54",367506050,40.66485,-74.14000,22.4,7.0,511,9569475,"HUNTING CREEK","WDF9526",31,6,25,7,3,4.3,"NEW YORK","07-25 00:00"
"2016-03-14 17:00:01",367594190,40.67097,-74.08579,349.9,0.0,511,9665504,"TANGIER ISLAND","WDH2080",52,0,0,0,0,4.3,"NEWYORK","01-02 21:00"
"2016-03-14 17:02:07",305599000,39.91649,-75.13425,206.2,0.0,511,9489974,"MARCOLORADO","V2EY5",70,155,30,10,20,7.3,"PHILADELPHIA","02-29 14:00"
"2016-03-14 17:02:09",366238710,41.28712,-72.90797,45.7,0.0,511,8993368,"DACE REINAUER","WCW8843",22,8,33,5,6,4.2,"NEW HAVEN","03-14 04:30"
"2016-03-14 17:04:53",367587440,40.64194,-74.12098,355.8,0.0,511,5108182,"PELHAM","WDG9405",52,8,19,4,4,2.0,"NEW YORK","11-14 20:00"
"2016-03-14 17:04:55",367506050,40.68476,-74.15285,334.1,0.0,511,9569475,"HUNTING CREEK","WDF9526",31,6,25,7,3,4.3,"NEW YORK","07-25 00:00"
"2016-03-14 17:24:56",366990560,40.77608,-74.00950,179.8,0.9,511,2097215,"JOHN STEVENS","WCX3346",0,10,20,4,4,0.0,"HOBOKEN\PIER11","04-02 00:00"
"2016-03-14 18:00:01",367594190,40.67097,-74.08577,317.9,0.0,511,9665504,"TANGIER ISLAND","WDH2080",52,0,0,0,0,4.3,"NEWYORK","01-02 21:00"
"2016-03-14 18:02:03",305599000,39.91649,-75.13425,246.0,0.0,511,9489974,"MARCOLORADO","V2EY5",70,155,30,10,20,7.3,"PHILADELPHIA","02-29 14:00"
"2016-03-14 18:04:54",367587440,40.64193,-74.12089,346.0,0.0,511,5108182,"PELHAM","WDG9405",52,8,19,4,4,2.0,"NEW YORK","11-14 20:00"
"2016-03-14 18:04:55",367506050,40.68854,-74.15811,239.7,0.0,511,9569475,"HUNTING CREEK","WDF9526",31,6,25,7,3,4.3,"NEW YORK","07-25 00:00"
"2016-03-14 18:05:00",366990560,40.70821,-74.02349,181.3,14.0,511,2097215,"JOHN STEVENS","WCX3346",0,10,20,4,4,0.0,"HOBOKEN\PIER11","04-02 00:00"
"2016-03-14 18:08:12",366238710,41.28712,-72.90798,351.8,0.0,511,8993368,"DACE REINAUER","WCW8843",22,8,33,5,6,4.2,"NEW HAVEN","03-14 04:30"
"2016-03-14 19:00:01",367594190,40.67095,-74.08577,341.6,0.0,511,9665504,"TANGIER ISLAND","WDH2080",52,0,0,0,0,4.3,"NEWYORK","01-02 21:00"
"2016-03-14 19:02:08",305599000,39.91650,-75.13424,246.0,0.0,511,9489974,"MARCOLORADO","V2EY5",70,155,30,10,20,7.3,"PHILADELPHIA","02-29 14:00"
"2016-03-14 19:02:14",366238710,41.28712,-72.90802,0.7,0.0,511,8993368,"DACE REINAUER","WCW8843",22,8,33,5,6,4.2,"NEW HAVEN","03-14 04:30"
"2016-03-14 19:04:13",367506050,40.68854,-74.15811,342.6,0.0,511,9569475,"HUNTING CREEK","WDF9526",31,6,25,7,3,4.3,"NEW YORK","07-25 00:00"
"2016-03-14 19:04:54",367587440,40.64193,-74.12090,26.0,0.0,511,5108182,"PELHAM","WDG9405",52,8,19,4,4,2.0,"NEW YORK","11-14 20:00"
"2016-03-14 19:04:58",366990560,40.70511,-74.02513,176.2,14.5,511,2097215,"JOHN STEVENS","WCX3346",0,10,20,4,4,0.0,"HOBOKEN\PIER11","04-02 00:00"
"2016-03-14 19:10:19",229206000,40.64593,-74.09530,181.0,0.0,511,9240811,"M/V AGHIA SKEPI","9HA3149",70,163,27,20,12,11.8,"NEW YORK","03-11 03:00"
"2016-03-14 20:00:01",366990560,40.72259,-74.02173,187.1,14.6,511,2097215,"JOHN STEVENS","WCX3346",0,10,20,4,4,0.0,"HOBOKEN\PIER11","04-02 00:00"
"2016-03-14 20:02:04",305599000,39.91649,-75.13425,246.0,0.0,511,9489974,"MARCOLORADO","V2EY5",70,155,30,10,20,7.3,"PHILADELPHIA","02-29 14:00"
"2016-03-14 20:02:07",366238710,41.28715,-72.90795,222.0,0.0,511,8993368,"DACE REINAUER","WCW8843",22,8,33,5,6,4.2,"NEW HAVEN","03-14 04:30"
"2016-03-14 20:04:43",367506050,40.68853,-74.15810,244.0,0.0,511,9569475,"HUNTING CREEK","WDF9526",31,6,25,7,3,4.3,"NEW YORK","07-25 00:00"
"2016-03-14 20:04:54",367587440,40.64190,-74.12086,353.2,0.0,511,5108182,"PELHAM","WDG9405",52,8,19,4,4,2.0,"NEW YORK","11-14 20:00"
"2016-03-14 20:05:00",367594190,40.67096,-74.08575,353.7,0.0,511,9665504,"TANGIER ISLAND","WDH2080",52,0,0,0,0,4.3,"NEWYORK","01-02 21:00"
"2016-03-14 20:39:35",367563930,41.80262,-73.94869,91.6,0.1,511,9653264,"DEAN REINAUER","WDG7107",80,128,24,12,12,6.5,"ALBANY,NY","03-16 14:00"
"2016-03-14 20:49:17",229206000,40.64597,-74.09528,181.0,0.0,511,9240811,"M/V AGHIA SKEPI","9HA3149",70,163,27,20,12,11.8,"NEW YORK","03-11 03:00"
"2016-03-14 21:02:08",305599000,39.91647,-75.13427,246.0,0.0,511,9489974,"MARCOLORADO","V2EY5",70,155,30,10,20,7.3,"PHILADELPHIA","02-29 14:00"
"2016-03-14 21:02:16",366238710,41.28712,-72.90792,208.7,0.0,511,8993368,"DACE REINAUER","WCW8843",22,8,33,5,6,4.2,"NEW HAVEN","03-14 04:30"
